sample_index,input_i,input_q,expected_i,expected_q
0,2218,1324,1848,1003
1,2805,810,2118,541
2,3614,-251,2760,-282
3,4416,-1561,3253,-1254
4,4951,-2758,3520,-2089
5,5009,-3506,3485,-2579
6,4502,-3594,3133,-2617
7,3492,-2992,2494,-2217
8,2177,-1870,1621,-1448
9,833,-553,643,-451
10,-270,565,-202,442
11,-945,1124,-723,888
12,-1145,903,-888,714
13,-974,-119,-780,-100
14,-651,-1757,-555,-1394
15,-444,-3670,-417,-2801
16,-580,-5450,-539,-3956
17,-1180,-6738,-1001,-4709
18,-2216,-7309,-1760,-4994
19,-3518,-7129,-2665,-4790
20,-4819,-6341,-3528,-4193
21,-5827,-5209,-4168,-3392
22,-6301,-4020,-4436,-2591
23,-6113,-2991,-4281,-1942
24,-5268,-2200,-3744,-1475
25,-3896,-1569,-2878,-1100
26,-2210,-908,-1709,-657
27,-439,3,-344,27
28,1221,1312,990,1033
29,2651,3017,2064,2256
30,3818,4925,2841,3465
31,4762,6690,3572,4542
32,5559,7890,4470,5405
33,6283,8157,5271,5644
34,6972,7289,5602,4877
35,7616,5335,5643,3344
36,8150,2606,5743,1426
37,8483,-382,5860,-649
38,8512,-3029,5838,-2558
39,8155,-4800,5559,-3856
40,7363,-5351,4926,-4049
41,6132,-4623,4075,-3263
42,4504,-2838,3141,-2016
43,2562,-439,1927,-324
44,424,2039,352,1605
45,-1758,4109,-1248,3096
46,-3814,5457,-2598,3945
47,-5569,6006,-3716,4364
48,-6865,5909,-4608,4443
49,-7594,5480,-5140,4233
50,-7725,5077,-5213,3923
51,-7330,4986,-4888,3769
52,-6580,5330,-4332,3930
53,-5724,6038,-3723,4386
54,-5038,6876,-3230,4977
55,-4760,7527,-3024,5480
56,-5015,7698,-3216,5660
57,-5775,7211,-3795,5342
58,-6846,6057,-4604,4529
59,-7906,4400,-5404,3374
60,-8588,2526,-5925,2063
61,-8577,761,-5909,781
62,-7714,-612,-5271,-262
63,-6057,-1423,-4192,-911
64,-3885,-1638,-2828,-1144
65,-1641,-1343,-1271,-995
66,182,-702,124,-540
67,1180,109,915,80
68,1154,943,906,739
69,187,1706,156,1357
70,-1369,2352,-1038,1866
71,-2977,2847,-2198,2203
72,-4056,3143,-2905,2368
73,-4145,3160,-2933,2351
74,-3038,2794,-2174,2103
75,-846,1962,-576,1516
76,2027,652,1633,453
77,4992,-1022,3668,-857
78,7440,-2807,5146,-2229
79,8917,-4333,6288,-3759
80,9239,-5187,6650,-4674
81,8548,-5021,5921,-4115
82,7249,-3661,4869,-2661
83,5882,-1188,4101,-848
84,4946,2043,3594,1458
85,4740,5456,3477,3738
86,5268,8370,4438,5859
87,6236,10156,6799,8125
88,7150,10393,8559,8864
89,7483,8977,7469,6851
90,6853,6151,5162,4057
91,5169,2461,3663,1591
92,2683,-1379,1960,-1164
93,-55,-4649,-142,-3459
94,-2352,-6789,-1820,-4715
95,-3566,-7519,-2717,-5107
96,-3307,-6878,-2375,-4621
97,-1564,-5190,-1088,-3629
98,1268,-2960,996,-2231
99,4480,-735,3346,-615
100,7229,1024,5116,529
101,8767,2034,6281,1060
102,8640,2219,6068,1215
103,6811,1687,4614,1030
104,3667,662,2629,421
105,-81,-597,-138,-492
106,-3591,-1864,-2749,-1358
107,-6103,-2975,-4382,-1983
108,-7125,-3828,-5062,-2467
109,-6534,-4360,-4561,-2859
110,-4580,-4513,-3178,-3084
111,-1788,-4222,-1286,-3054
112,1203,-3428,898,-2587
113,3805,-2114,2812,-1616
114,5616,-354,4046,-328
115,6484,1654,4590,1066
116,6487,3594,4577,2379
117,5856,5075,4152,3380
118,4863,5727,3450,3831
119,3731,5307,2649,3597
120,2576,3792,1899,2670
121,1414,1423,1105,1026
122,210,-1323,137,-1079
123,-1045,-3833,-857,-2886
124,-2283,-5517,-1749,-3910
125,-3332,-5964,-2464,-4085
126,-3952,-5072,-2845,-3432
127,-3913,-3095,-2844,-2120
128,-3090,-589,-2327,-354
129,-1531,1731,-1140,1386
130,513,3185,458,2422
131,2636,3330,2032,2419
132,4376,2090,3246,1420
133,5346,-197,3850,-282
134,5362,-2868,3728,-2178
135,4512,-5111,3014,-3690
136,3145,-6189,2029,-4356
137,1784,-5654,1161,-3968
138,971,-3488,697,-2559
139,1101,-114,908,-62
140,2287,3702,1821,2740
141,4304,7061,3340,4829
142,6626,9162,6469,6842
143,8562,9523,10124,7935
144,9443,8102,10130,6234
145,8811,5298,7038,3419
146,6564,1831,4578,1112
147,3000,-1460,2153,-1198
148,-1243,-3852,-1050,-2870
149,-5340,-4922,-3902,-3305
150,-8479,-4645,-6451,-2855
151,-10067,-3370,-7963,-1744
152,-9865,-1693,-7274,-619
153,-8037,-258,-5461,45
154,-5097,439,-3569,372
155,-1771,194,-1326,155
156,1193,-851,920,-713
157,3192,-2266,2348,-1776
158,3900,-3477,2758,-2600
159,3309,-3953,2306,-2901
160,1695,-3370,1183,-2513
161,-481,-1719,-434,-1294
162,-2702,690,-2091,611
163,-4519,3314,-3219,2505
164,-5629,5533,-3768,4059
165,-5910,6821,-3863,5063
166,-5402,6896,-3482,4955
167,-4259,5791,-2784,3999
168,-2682,3834,-1858,2752
169,-877,1554,-624,1188
170,973,-474,783,-391
171,2708,-1782,2067,-1399
172,4186,-2130,3083,-1630
173,5265,-1558,3796,-1191
174,5813,-361,4153,-327
175,5723,1007,4086,650
176,4952,2063,3568,1419
177,3551,2425,2625,1732
178,1679,1907,1293,1419
179,-404,560,-331,424
180,-2386,-1354,-1886,-1030
181,-3960,-3437,-2965,-2462
182,-4901,-5256,-3568,-3586
183,-5116,-6449,-3751,-4333
184,-4667,-6800,-3398,-4550
185,-3747,-6278,-2668,-4212
186,-2628,-5029,-1899,-3478
187,-1583,-3329,-1220,-2426
188,-821,-1518,-680,-1151
189,-438,78,-371,74
190,-413,1205,-328,959
191,-641,1728,-489,1369
192,-991,1645,-760,1308
193,-1367,1071,-1066,866
194,-1748,209,-1383,197
195,-2193,-708,-1741,-510
196,-2810,-1464,-2204,-1067
197,-3693,-1915,-2826,-1361
198,-4854,-2022,-3595,-1371
199,-6183,-1860,-4435,-1173
200,-7438,-1604,-5236,-902
201,-8298,-1480,-5832,-741
202,-8441,-1708,-5917,-906
203,-7647,-2428,-5296,-1502
204,-5889,-3647,-4086,-2466
205,-3374,-5215,-2395,-3660
206,-519,-6837,-452,-4802
207,2123,-8133,1238,-5770
208,3991,-8732,2435,-6495
209,4654,-8369,2904,-6182
210,3921,-6977,2467,-4811
211,1889,-4728,1215,-3321
212,-1066,-2014,-934,-1472
